TimeID,StartTime,EndTime,
1,8:00AM,8:15AM,
2,8:15AM,8:30AM,
3,8:30AM,8:45AM,
4,8:45AM,9:00AM,
5,9:00AM,9:15AM,
6,9:15AM,9:30AM,
7,9:30AM,9:45AM,
8,9:45AM,10:00AM,
9,10:00AM,10:15AM,
10,10:15AM,10:30AM,
11,10:30AM,10:45AM,
12,10:45AM,11:00AM,
13,11:00AM,11:15AM,
14,11:15AM,11:30AM,
15,11:30AM,11:45AM,
16,11:45AM,12:00PM,
17,12:00PM,12:15PM,
18,12:15PM,12:30PM,
19,12:30PM,12:45PM,
20,12:45PM,1:00PM,
21,1:00PM,1:15PM,
22,1:15PM,1:30PM,
23,1:30PM,1:45PM,
24,1:45PM,2:00PM,
25,2:00PM,2:15PM,
26,2:15PM,2:30PM,
27,2:30PM,2:45PM,
28,2:45PM,3:00PM,
29,3:00PM,3:15PM,
30,3:15PM,3:30PM,
31,3:30PM,3:45PM,
32,3:45PM,4:00PM,
33,4:00PM,4:15PM,
34,4:15PM,4:30PM,
35,4:30PM,4:45PM,
36,4:45PM,5:00PM,
37,5:00PM,5:15PM,
38,5:15PM,5:30PM,
39,5:30PM,5:45PM,
40,5:45PM,6:00PM,
41,6:00PM,6:15PM,
42,6:15PM,6:30PM,
43,6:30PM,6:45PM,
44,6:45PM,7:00PM,
